Owner Name	Sum of 2019 Production	Sum of 2019 Production2	Sum of 2025 Production	Sum of 2025 Production2
Navid Zar Chimi	110.6994329	0.0005443184201	118.7634369	0.0003998142649
Rompetrol	110.5837343	0.0005437495206	106.7280869	0.0003592975473
Ecofuel	108.8081348	0.0005350187484	100.32	0.0003377248764
APICORP	108.8081348	0.0005350187484	100.32	0.0003377248764
Kuwait Petroleum International	108.4656226	0.0005333345873	108.0378	0.0003637066652
Shas‌ta	107.3259998	0.0005277309661	239.3467322	0.0008057550393
Amir Kabir Petrochemical	106.6875226	0.0005245915197	98.321	0.0003309952908
Naftan	102.8410853	0.000505678264	177.5	0.0005975494972
Jiangsu GPRO Group	100.2018837	0.000492701088	92.07257657	0.000309960123
National Petrochemical Corporation	99.55462185	0.000489518447	112.9107692	0.0003801113994
Iranian National Development Investment	94.55473974	0.0004649336063	89.03064406	0.0002997195301
Europlast	93.14731707	0.0004580131907	69.74358974	0.0002347901239
Langang	91.85172673	0.000451642664	84.39986186	0.0002841301128
Haoda Chemical	91.09677555	0.0004479305056	95.39170859	0.0003211339015
Al Ahly Capital Holding	90.64194285	0.0004456940549	101.03625	0.0003401361149
Plastipak	90.21367668	0.0004435882342	89.58209125	0.0003015759639
S-Oil	89.80943215	0.0004416005298	398.6415756	0.001342017313
Pushineh Polymer Industrial Group	89.76761116	0.0004413948925	88.40117647	0.0002976004426
Paneuropean Oil & Industrial Holdings	87.22022094	0.0004288691606	81.96910274	0.0002759470205
Koksan	86.36861934	0.0004246817639	261.7319508	0.0008811143416
Petroquim	85	0.0004179521475	72	0.0002423862749
HIP Petrohemija	84.06240824	0.00041334193	181.754	0.0006118704863
Petroleum Ministry Pension Fund	83.99426075	0.0004130068431	81.66265996	0.0002749153882
Boubyan Petrochemical	83.75907031	0.0004118503919	83.7135	0.000281819492
Wuhe Plastics	83.50156976	0.00041058424	76.72714714	0.0002583001025
Tianda	83.50156976	0.00041058424	76.72714714	0.0002583001025
Shouguang Jianyuanchun Chemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Rizhao Guangxin Chemical Technology	83.50156976	0.00041058424	76.72714714	0.0002583001025
Jiangsu Xusheng Petrochemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Hunan Changsheng	83.50156976	0.00041058424	76.72714714	0.0002583001025
Huifeng Nonwoven	83.50156976	0.00041058424	76.72714714	0.0002583001025
Hengyuan Petrochemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Guangqing Group	83.50156976	0.00041058424	76.72714714	0.0002583001025
Dongfang Hongye Chemical	83.50156976	0.00041058424	76.72714714	0.0002583001025
Polisan	82.01243334	0.0004032620311	81.43826477	0.0002741599672
GS Holdings	79.83060635	0.0003925338043	272.6581513	0.0009178971336
Ube Industries	79.77481222	0.0003922594599	73.125	0.0002461735605
Maruzen Petrochemical	79.77481222	0.0003922594599	73.125	0.0002461735605
The TATA Group 	78.70651758	0.0003870065653	68.69886304	0.0002312730765
Kogaz	77.86292565	0.0003828585528	79.5719321	0.0002678770029
Libolon	77.81460252	0.0003826209439	63.4726146	0.0002136790363
Gujarat State Petroleum Corporation	77.39375389	0.0003805515958	67.42527638	0.0002269855775
SIDPEC	73.37836684	0.0003608076001	60.6	0.0002040084481
ECHEM	73.37836684	0.0003608076001	60.6	0.0002040084481
Turkmenneftegaz	70.1217469	0.000344794526	73.33245662	0.0002468719582
Iranian Civil Pension Fund Investment	69.03310285	0.0003394415716	63.61947059	0.0002141734235
Philippine Polypropylene Inc	68.75337143	0.0003380661087	65.7856	0.0002214656462
Tainan 	68.44803	0.0003365647192	55.83239247	0.0001879584115
Hellenic Republic Asset Development Fund	68.05094161	0.0003346122022	63.95391532	0.0002152993237
Sichuan Shengma Petrochemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Jiangsu Huaneng Chemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Hengxiang Chemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Hengfa Chemical	66.8012558	0.000328467392	61.38171771	0.000206640082
Toray	66.57849803	0.0003273720733	57.44220522	0.0001933778076
Metro Alliance Holdings and Equities Corporation	66.3697479	0.0003263456314	75.27384615	0.0002534075996
Mogilev	60	0.0002950250453	56.19452263	0.0001891775141
Formosa Chemicals & Fibre Corp	59.62043796	0.0002931587068	53.77802704	0.0001810424395
Kairi Chemical	58.45109883	0.000287408968	53.709003	0.0001808100718
Hebei Zhongjie	58.45109883	0.000287408968	53.709003	0.0001808100718
Hebei Jihexi	58.45109883	0.000287408968	53.709003	0.0001808100718
Petron Corporation	58.33234286	0.0002868250349	55.8144	0.0001878978403
YPF	58.29032258	0.0002866184177	58.5	0.0001969388484
Petroquimica Cuyo	58.29032258	0.0002866184177	58.5	0.0001969388484
ImatosGil	57.40870334	0.0002822834217	57.00678534	0.000191911977
Pequiven 	56.1896	0.0002762889881	63.36	0.0002132999219
QPIC	55.83938021	0.0002745669279	55.809	0.0001878796614
Hualon	52.59690726	0.0002586234158	0	0
PT Pertamina	50.23279058	0.0002469988553	36.45	0.0001227080517
Zhenghe Group	50.10094185	0.000246350544	46.03628829	0.0001549800615
Huabei Oilfield Jiujiu	50.10094185	0.000246350544	46.03628829	0.0001549800615
Ilam Petrochemical	49.2239356	0.0002420382305	43.89	0.0001477546334
Tunhe	48.78807771	0.0002398950806	244.9694649	0.0008246838342
Chiripal Poly Films	45.86485631	0.0002255213552	36.09719578	0.0001215203447
Beijing Huamei	45.54838778	0.0002239652528	47.69585429	0.0001605669507
DuFor Resins	45.10683834	0.0002217941171	44.79104562	0.0001507879819
Minority	43.57480654	0.0002142609879	103.98024	0.0003500469867
Tabriz Oil Refinery	42.02865442	0.0002066584279	36.75	0.0001237179945
Zibo Nuohong Chemical	41.75078488	0.00020529212	38.36357357	0.0001291500513
Linyi Wuhu Chemical	41.75078488	0.00020529212	38.36357357	0.0001291500513
Jiangsu Tongli Chemical	41.75078488	0.00020529212	38.36357357	0.0001291500513
Huaxing Petrochemical Group	41.75078488	0.00020529212	38.36357357	0.0001291500513
Heze Hengda Chemical	41.75078488	0.00020529212	38.36357357	0.0001291500513
Pakistan Synthetics	39.44298757	0.0001939444866	31.04296751	0.0001045054064
Hellenic Petroleum	38.33855865	0.0001885139167	36.03037483	0.0001212953936
Techinservice Limited	36.39809524	0.000178972495	38	0.0001279260896
Cyprus Xedrian Holding	36.39809524	0.000178972495	38	0.0001279260896
MPI Polyester Industries	35.07084586	0.0001724462981	31.63413355	0.0001064955527
National Oil Corporation of Libya	34.80989098	0.0001711631611	120.8	0.0004066703057
Polynar	34.59357278	0.0001700995063	37.11357404	0.0001249419578
Taiwan Polypropylene	33.953125	0.0001669503707	43.335	0.0001458862392
Zibo Yuanshun Chemical	33.4006279	0.000164233696	30.69085886	0.000103320041
Shijiazhuang Union Petrochemical	33.4006279	0.000164233696	30.69085886	0.000103320041
Ruixing Plastics Industry	33.4006279	0.000164233696	30.69085886	0.000103320041
Dongming Petrochemical Group	33.4006279	0.000164233696	30.69085886	0.000103320041
Rextac	33.06995841	0.0001626077663	30.6	0.0001030141668
Other	31.75988592	0.0001561660297	25.90623011	0.00008721270296
Privatisation Agency	31.74093088	0.0001560728262	28	0.00009426132914
Beijing Organics	30.36559185	0.0001493101685	31.7972362	0.0001070446338
Tabriz Petrochemical	28.30501216	0.0001391781249	24.75	0.00008332028201
Shazand Petrochemical	27.81021757	0.0001367451783	26.18548355	0.00008815280298
Nissho Iwai Corporation	26.79082164	0.0001317327228	24.3	0.00008180536779
BP Chemicals	26.79082164	0.0001317327228	24.3	0.00008180536779
Yangzhou Petrochemical	25.05047093	0.000123175272	23.01814414	0.00007749003076
Xuzhou Zhongxin Plastics	25.05047093	0.000123175272	23.01814414	0.00007749003076
Xinjiang Xinfeng,Ltd	25.05047093	0.000123175272	23.01814414	0.00007749003076
Tianli group	25.05047093	0.000123175272	182.0043251	0.0006127131999
Suqian Hongda Chemical	25.05047093	0.000123175272	23.01814414	0.00007749003076
Nanchong Shida Chemical	25.05047093	0.000123175272	23.01814414	0.00007749003076
Hubei Jinao	25.05047093	0.000123175272	23.01814414	0.00007749003076
Huake	25.05047093	0.000123175272	23.01814414	0.00007749003076
Huahai	25.05047093	0.000123175272	23.01814414	0.00007749003076
Guangxi East Oil	25.05047093	0.000123175272	23.01814414	0.00007749003076
Fufeng Chemical	25.05047093	0.000123175272	23.01814414	0.00007749003076
Oil India Limited	24.70068143	0.0001214553276	20.99269583	0.00007067140755
Numaligarh Refineries Limited	24.70068143	0.0001214553276	20.99269583	0.00007067140755
Assam Government	24.70068143	0.0001214553276	20.99269583	0.00007067140755
Golriz Qom	24.10287051	0.0001185158411	36.52073733	0.0001229461872
Novi Sad	23.2277707	0.0001142129017	50.2215	0.0001690694765
Qatar Petroleum	21.502061	0.000105727442	1655.791347	0.005574181898
Yueyang Xinchang Petrochemical	20.87539244	0.00010264606	19.18178679	0.00006457502563
Shaanxi Xianyang Weiye Plastics Industry	20.87539244	0.00010264606	19.18178679	0.00006457502563
Iranian National Pension Fund	17.91957376	0.00008811205099	17.45918245	0.00005877591941
Zibo Qitai Petrochemical	16.70031395	0.000082116848	15.34542943	0.00005166002051
Weifang Shanjun Plastics Industry	16.70031395	0.000082116848	15.34542943	0.00005166002051
Tianmao Industrial Group	16.70031395	0.000082116848	15.34542943	0.00005166002051
Mudanjiang Refinery	16.70031395	0.000082116848	15.34542943	0.00005166002051
Linyi Yishun Chemical	16.70031395	0.000082116848	15.34542943	0.00005166002051
Changyi Petrochemical	16.70031395	0.000082116848	15.34542943	0.00005166002051
PET Refine Technology	16.57162832	0.00008148408991	13.51731607	0.00004550572069
Meltem Kimya	16.06858034	0.00007901056073	261.7319508	0.0008811143416
POLI-CHEM	15.82170543	0.00007779665601	15	0.00005049714061
Omid Shares Management & Investment	15.43909754	0.00007591534086	13.5	0.00004544742655
Unitika	14.41011158	0.00007085573036	11.75418789	0.0000395701919
Formosa Taffeta	14.02833834	0.00006897851926	12.65365342	0.00004259822107
Egyptian Petrochemicals Co.	13.59465766	0.00006684607488	37.40625	0.0001259272444
Billion Industrial Holdings	13.1515672	0.0000646673618	142.353601	0.000479229987
PET Processors UK	12.301865	0.00006048930466	12.21573972	0.00004112399507
Crystal Industries	11.50053185	0.00005654908217	46.09834053	0.0001551889589
ST-X Energy	10.38172342	0.00005104780704	10.60959095	0.00003571693372
Goldman Sachs	9.174	0.00004510932943	25.89207781	0.00008716505958
Khartoum Petrochemical Company	8.371750663	0.00004116460198	8.1	0.00002726845593
CNPC	8.371750663	0.00004116460198	8.1	0.00002726845593
Shouguang Youbang Chemical	8.350156976	0.000041058424	7.672714714	0.00002583001025
Kingcar Group	7.014169171	0.00003448925963	6.32682671	0.00002129911054
Ledervin	6.491666667	0.00003192007088	7.225	0.00002432278939
Ishizuka Glass	5.349753924	0.0000263051899	4.363742253	0.00001469043374
Zepu Dong Chen Industrial	4.175078488	0.000020529212	3.836357357	0.00001291500513
Bandar Imam Petrochemical	1.867474966	0.000009182531441	1.742529412	0.000005866183515
Zhejiang Tongkun	0	0	248.4370183	0.0008363572699
YPFB	0	0	663	0.002231973615
Xingjiang guanghui	0	0	248.4370183	0.0008363572699
Watson Island LNG Corporation	0	0	420	0.001413919937
Wanhua PetroChemical	0	0	796.732691	0.002682181515
Vung Ro Petroleum	0	0	729	0.002454161034
Uzkimyosanoat	0	0	370.4889386	0.001247242135
UCC	0	0	465.625	0.001567515407
Turkmenhimiya	0	0	496.4415221	0.00167125849
Tose Insurance	0	0	55.44	0.0001866374317
Tongkun Group	0	0	496.4945306	0.001671436942
Tatneft	0	0	162.9610147	0.0005486043516
Taiwan Xuteng	0	0	253.5121432	0.0008534425563
Surhan Gas Chemical	0	0	391.5004072	0.001317976741
State Development&Investment Company	0	0	481.4910307	0.001620928019
SP Group	0	0	460.3628829	0.001549800615
SK Gas	0	0	330	0.001110937093
SK Advanced 	0	0	162	0.0005453691186
Shenghong Group	0	0	468.6607129	0.001577735061
Shanxi Coking Coal	0	0	447.0418341	0.001504955624
Sat & Company	0	0	199.627243	0.0006720403308
Sasa Polyester Sanayi A.S.	0	0	191.733871	0.0006454674828
SafPET	0	0	174.3589744	0.0005869753097
RusGazDobycha	0	0	2144.276132	0.007218654223
Rönesans	0	0	200.25	0.0006741368272
Risun 	0	0	993.3803183	0.003344191041
Quantum Petrochemicals	0	0	988	0.003326078328
Qinghai Provincial Mining,Ltd	0	0	539.1144107	0.001814915747
Qinghai Damei	0	0	441.8226648	0.001487385415
Qingdao Jinneng	0	0	613.8171771	0.00206640082
PolyMirae Company	0	0	162	0.0005453691186
Pingliang Huahong Huijin Coal Chemical	0	0	444.4322495	0.00149617052
Pertamina	0	0	64.8	0.0002181476474
Pembina Resources	0	0	231	0.0007776559654
Pasargad Energy Development (PEDC)	0	0	363.7130256	0.001224431186
Parsian Investment	0	0	217.1144081	0.0007309104531
Parsian Bank	0	0	116.9077582	0.0003935671671
Nayara Energy	0	0	378.2021874	0.001273208603
Nanshan Group	0	0	814.8463986	0.002743160878
MetCap Energy Investments	0	0	394.4415221	0.001327877934
Mamsani Petrochemical	0	0	18.48	0.00006221247723
Mahan Chimie	0	0	676.3628885	0.002276959459
Lotte Chemical Titan Holding	0	0	792	0.002666249024
Longyou	0	0	711.1464996	0.002394057652
Long Son Petrochemical	0	0	345.465	0.001162999645
LiHeZhiXin new material company	0	0	230.1814414	0.0007749003076
Kuwait Petroleum Corporation (KPC)	0	0	2008.6	0.006761903776
Kingfa Group	0	0	613.8171771	0.00206640082
Kazeroun Petrochemical	0	0	11.55	0.00003888279827
KazAzot	0	0	181.8046293	0.0006120409287
Juhua Group	0	0	496.4945306	0.001671436942
Inter Pipeline Fund	0	0	441	0.001484615934
Inner Mongolia Berun Holding Group	0	0	284.3610869	0.000957294786
Hyundai Oilbank	0	0	378.6048908	0.001274564294
Huating Coal	0	0	122.7634354	0.0004132801641
Huatai Shengfu	0	0	283.928021	0.0009558368799
Hengli	0	0	941.327941	0.00316895796
Grupa Lotus	0	0	576.75	0.001941615057
Grupa Azoty	0	0	896.75	0.00301888739
Fusion Dynamics	0	0	394.4415221	0.001327877934
Fateh Kimia	0	0	363.7130256	0.001224431186
Etana	0	0	348.7179487	0.001173950619
EBRD	0	0	21.29385325	0.0000716852468
Dongming	0	0	153.4542943	0.0005166002051
Di Arya Polymer	0	0	222.6814442	0.0007496517468
Dehloran Sepehr Petrochemical	0	0	0.1027022166	0.0000003457445516
Dehdasht Petrochemical	0	0	25.41	0.0000855421562
Datong Coal	0	0	443.1274571	0.001491777968
Dangote Group	0	0	648	0.002181476474
Dalian Kunpeng	0	0	268.545015	0.0009040503589
Chongqing Pengwei	0	0	183.7270987	0.0006185128757
China Gas	0	0	69.05443243	0.0002324700923
Chambroad Petrochemical	0	0	460.3628829	0.001549800615
Bohai Group	0	0	230.1814414	0.0007749003076
Baolai Group	0	0	1026.914132	0.003457081823
Ardebil Petrochemical	0	0	1098.561792	0.003698281951
Ahdaf Inves‌tment	0	0	342.2380199	0.001152136094
Grand Total	203372.5643	1	297046.5222	1